id,name
11,椰子
42,楊梅
469,藍莓
50,百香果
72,小番茄
811,火龍果
839,櫻桃
859,榴槤
91,其他
A1,香蕉
B2,鳳梨
C9,椪柑
E9,甜橙
F1,雜柑
FA1,黃秋葵
FB1,花椰菜
FC1,胡瓜
FD0,花胡瓜
FE1,冬瓜
FF0,絲瓜
FG0,苦瓜
FH3,扁蒲
FI0,茄子
FJ1,蕃茄
FK0,甜椒
FL2,豌豆
FM2,菜豆
FN1,敏豆
FQ1,毛豆
FR9,青花苔
FS1,越瓜
FT0,南瓜
FU1,隼人瓜
FV0,辣椒
FW1,金針花
FY0,玉米
FZ1,落花生
G2,黃金果
G3,酪梨
G49,奇異果
G9,波羅蜜
I1,木瓜
J1,荔枝
LA1,甘藍
LB1,小白菜
LC0,包心白菜
LC9,包心白
LD1,青江白菜
LE1,皇宮菜
LF2,蕹菜
LG2,芹菜
LH2,菠菜
LI0,萵苣菜
LJ4,芥菜
LK2,芥藍菜
LM1,莧菜
LN1,油菜
LO1,甘藷葉
LP1,芫荽
LP2,九層塔
LP3,羅勒
LQ1,紅鳳菜
LS1,茴香
LT2,海菜
LX1,蕨菜
LZ2,藤川七
MA1,洋菇
MA2,洋菇盒
MB1,草菇
MC1,濕木耳
MD1,溼香菇
ME1,金絲菇
ME2,金絲菇盒
MF1,蠔菇
MI1,秀珍菇
MJ1,杏鮑菇
MK1,鴻禧菇
ML1,珊瑚菇
MN1,柳松菇
MX1,其他菇類
N2,李
O2,梨
O99,西洋梨
OA2,鹹菜
OB1,雪裡紅
OC1,其他蔬菜
OD1,蘿蔔乾
OE2,醃瓜
OG1,熟筍
OI4,筍茸
OL1,朴菜
P1,番石榴
Q1,蓮霧
R0,芒果
S1,葡萄
SA3,蘿蔔
SB1,胡蘿蔔
SC1,馬鈴薯
SD1,洋蔥
SE1,青蔥
SF1,韭菜
SG2,大蒜
SH1,竹筍
SJ2,芋
SK2,荸薺
SL1,豆薯
SM1,牛蒡
SN1,蓮藕
SO0,甘薯
SP1,薑
SQ1,茭白筍
SU2,薯蕷
SV1,蘆筍
SX1,芽菜類
SZ1,半天筍
T1,西瓜
V1,甜瓜
W1,洋香瓜
X69,蘋果
Y0,桃子
31,釋迦
459,草莓
61,甘蔗
C2,茂谷柑
FA0,其他花類
FP1,萊豆
G8,栗子
H49,葡萄柚
LV1,巴西利
LY1,西洋菜
LY2,黑甜仔菜
MC2,濕木耳盒
OH2,桶筍
SR3,菱角
SW1,球莖甘藍
SZ3,金針筍
SZ7,晚香玉筍
FP3,鵲豆
FX1,花豆
LL2,茼蒿
FX2,虎豆
MG2,巴西蘑菇
ST1,蕎頭
SZ6,半天花
Y19,水蜜桃
FA100,康乃馨
FA985,美女撫子
FB000,火鶴花
FC316,大菊
FC803,染大菊
FD001,小菊
FD802,染小菊
FE000,非洲菊
FG113,劍蘭
FH000,其它花卉
FH003,柔麗絲
FH004,八卦草黃河
FH006,黃梔花
FH007,松蟲草
FH050,水仙百合
FH101,天堂鳥
FH156,野薑花
FH158,紅薑花
FH185,嘉蘭火焰百合
FH231,夜來香
FH251,秀線
FH293,向日葵
FH310,大理花
FH320,薊花紅花
FH330,雞冠花
FH358,珊瑚鳳梨
FH381,麒麟草
FH460,繡球花
FH522,迥香
FH633,海芋
FH670,茉莉花
FH710,深山櫻
FH730,黑種草
FH750,百子蓮愛情花
FL129,百合
FO000,蘭花
FO007,千代蘭
FO008,嘉德麗蘭
FO009,萬代蘭
FO335,檸檬綠文心蘭
FO560,石斛蘭
FO600,蝴蝶蘭
FR000,玫瑰
FS012,香水百合
FS470,水晶香水
FS593,薇薇安娜
FS630,曼尼薩
FS822,姬百合
FT060,鐵砲百合
FU000,洋桔梗
FW141,星辰花
FW471,卡斯比亞
FW560,滿天星
FW640,水晶花
FY000,切葉類
FY001,尤加利葉
FY003,唐棉
FY004,黃椰心葉
FY009,電信蘭葉
FY010,七里香
FY013,星點木
FY015,葉蘭
FY017,八角金盤
FY018,蓮蓬
FY021,扁柏
FY027,虎斑木葉
FY030,新文竹
FY050,山蘇葉
FY057,百合竹
FY086,綠春蘭葉
FY093,水燭葉
FY993,白竹
IA000,進口康乃馨
IH000,進口其它花卉
IH260,進口丹頂蔥花
IH309,進口牡丹花
IO519,進口石斛蘭
IW560,進口滿天星
MM2,猴頭菇
MH1,松茸
MD0,濕香菇
Y39,甜桃
FH112,小天堂鳥
FH195,玉蘭花
FH640,睡蓮
FW172,補血草
FW240,粉孔雀
FY012,新西蘭葉
FY047,新西蘭株
IC350,進口大菊
ID000,進口小菊
IR100,進口玫瑰
IY981,進口高山羊齒
FY035,龍文蘭
FY991,青竹
FH270,千日紅
FO006,腎藥蘭
OI1,筍乾
OI2,筍絲
LY4,人參葉
FH125,翠珠花
FH356,觀果鳳梨花
FH357,觀花鳳梨花
FH660,天鵝絨
FH661,伯利恆之星
FH790,藍星花
FO011,拖鞋蘭
FO013,黃后蘭
FO014,樹蘭
FO331,大文心蘭
FO333,香水文心蘭
FO361,文心蘭
FY011,火鶴葉
FY028,高梁
FY069,天堂鳥葉
FY080,青蘋果
FY083,紐西蘭麻
FY100,山防風
IH050,進口水仙百合
IH460,進口繡球花
IY087,進口樺木假葉
FH005,金鎚花
FY088,黃椰心
FY002,壽松
FH123,黃金鳥
FU3,石蓮花
829,蜜棗
G1,蛋黃果
FW2,洛神花
OI3,筍片
LY5,珍珠菜
G5,香瓜梨
K0,龍眼
LY3,豬母菜
G7,橄欖
41,梅
FH240,麥桿菊
FH454,紫羅蘭
FH740,金翠花
FY008,銀龍柳
FY053,觀賞辣椒
FY992,紅竹
FH135,垂焦
FH210,夕霧草
FS683,多娜托
FY071,雪松
L9,枇杷
SI1,萵苣莖
M3,楊桃
FO1,蠶豆
FH129,錦鳳垂蕉
FH470,仙丹花
IH770,鬱金香
H9,柚子
SZ5,草石蠶
FH164,火炬花
FY995,黃金竹
FH138,美人蕉
FH375,大飛燕草
FY022,鋸齒蔓綠絨葉
IH500,進口風信子
IY000,進口切葉類
FH355,鳳梨花
FY981,高山羊齒
Z9,柿子
FH131,鶴焦
FY994,花竹
FH366,金魚草
FO213,虎頭蘭
43,桑椹
87,紅毛丹
FW271,紫孔雀
FY980,玉羊齒
FY082,春樹蘭
FH130,文珠蘭
IH225,進口帝王花
IH612,進口鬱金香
D1,桶柑
FY085,珠廉
FW000,重量計花卉
FH245,初雪草
FY031,牛頭茄
IH375,進口大飛燕草
IH495,進口陸蓮花
FA2,樊花
FH720,貝殼花
SS1,大心菜
FA910,小可愛
LR1,塌棵菜
FH134,紅娘垂蕉
FY063,小米
C6,佛利檬
FY094,斑葉蘭
FO010,蜘蛛蘭
FY014,征木
IH490,進口白頭翁
IH390,進口泡盛草
LU1,菾菜
IH443,進口小蒼蘭
IH600,進口臘梅
LY6,香椿
22,棗子
C0,椪柑其他
FS672,羅賓娜
FA9,百果
FH302,矢車菊
FH133,鶴蕉紅美人
FY016,五彩千年木
FO339,迷你文心蘭
FH443,小蒼蘭
IH416,進口愛麗絲
FO332,小文心蘭
D2,海梨
FH420,孤挺花
FY049,紅茄番柿
FH341,火焰雞冠花
FH495,陸蓮花
G6,香櫞
IH090,進口針墊花
FY073,米柳
FH370,千鳥草
IH048,進口連翹
IH420,進口孤挺花
FW171,貝麗星辰
FS579,希拉
MF2,蠔菇盒
C4,紅柑
FH780,玉米百合
FY044,白斑征木
FH490,白頭翁
849,石榴
FH225,帝王花
FY052,麻葉繡球小手球
FD437,雲南菊
FH304,鱗托菊
FY042,桃花
C7,豔陽柑
FH600,臘梅
IE600,進口非洲菊
Z39,柿餅
FH418,愛麗絲
LZ1,薺菜
MI2,秀珍菇盒
FW210,孔雀混色
FH048,連翹
FH485,風鈴花
FY034,三角尤加利
FY051,台灣蘇鐵葉
FY237,葉牡丹
C3,虎頭柑
H6,西施柚
FH203,貓柳
FH132,小鶴蕉
IS000,進口香水百合
IY072,進口石化柳
FY043,茶花
FY087,樺木
FH137,觀音蓮
FH376,小飛燕草
FY026,觀賞南瓜
IY001,進口尤加利葉
SL2,菊芋
FS663,黃金艾曼達
IH740,進口金翠花
C5,溫州柑
SZ2,甘蔗筍
IH074,進口石蒜
IO201,進口虎頭蘭
rest,休市
IH480,進口龍膽
FY054,孔雀竹竽
FY061,洛神葵
FH301,波斯菊
FY075,黃金側柏
FY025,香冠柏
FH139,石玫瑰
FY115,條紋葉蘭
IY230,進口葉牡丹
FY023,龜背觀音蓮葉
FY007,武竹
FY096,石化米柳
IU000,進口洋桔梗
IH890,進口袋鼠花
IH630,進口海芋
FY077,變色葉
FH140,薑荷花
FH395,虎尾花
FY037,長春籐
FH072,石蒜
FY099,銀蘆
IY028,進口高梁
869,山竹
IA940,進口小可愛
IA980,進口美女撫子
FY081,圓葉
FY019,射干
IW100,進口星辰花
IH485,進口風鈴花
IH376,進口小飛燕草
IH170,進口狐尾百合
FH159,球薑花
FY090,綠征木
FH900,紫嬌花
IH690,進口火球花
IH370,進口千鳥草
IH210,進口夕霧草
FW200,孔雀草
FH580,花菖蒲
IW472,進口卡斯比亞
FY041,水燭花
IH293,進口向日葵
FK410,葵百合
FH335,槍型雞冠花
FA4,瓊花
IH330,進口雞冠花
IH730,進口黑種草
FY005,文竹新娘花
FH309,牡丹花
FH500,風信子
IO000,進口蘭花
IH521,進口迥香
FY091,傘高梁
IH660,進口天鵝絨
FY039,木瓜葉
FY058,綿羊齒
IH201,進口貓柳
FY060,彩色海芋葉
IY018,進口蓮蓬
IH185,進口嘉蘭
FY046,斑葉女真
IY034,進口三角尤加利
IH310,進口大理花
IY021,進口扁柏
FY033,雁來紅
IH251,進口秀線
FY059,虎尾蘭
IH101,進口天堂鳥
IH900,進口紫嬌花
FY074,斑春葉
FW260,白孔雀
FH256,白秀線
FY076,小林投葉
FY062,觀賞玉米
IH700,進口寒丁子王冠
IW260,進口白孔雀
IH661,進口伯利恆之星
IH320,進口薊花紅花
IH270,進口千日紅
FY024,蘆筍草
IW240,進口粉孔雀
FY040,班太蘭
FY029,六月雪
FH390,泡盛草
IH125,進口翠珠花
IH710,進口深山櫻
FH650,荷花
FT720,王后粉
IY084,進口火龍果
FY067,黃金葛葉
IW631,進口水晶花
IY017,進口八角金盤
FS562,馬利歐
FH002,拍賣花朵
FK442,羅迪納
FH090,針墊花
IH470,進口仙丹花
IB000,進口火鶴花
FY095,卓我
IH381,進口麒麟草
FH280,古代稀
FH180,宮燈百合
IO007,進口千代蘭
IY086,進口綠春蘭葉
IO009,進口萬代蘭
